Tail Number,Aircraft Delivery Date
502,3/29/2005
503,5/23/2005
504,5/31/2005
505,6/21/2005
506,6/24/2005
507,9/29/2005
508,10/27/2005
509,11/28/2005
510,12/6/2005
512,2/2/2006
514,2/7/2006
515,2/27/2006
516,3/23/2006
517,3/14/2006
519,3/1/2013
521,10/1/2012
522,11/9/2006
523,11/9/2006
524,11/9/2006
525,11/29/2006
526,12/7/2006
527,1/10/2007
528,1/19/2007
529,2/1/2007
530,2/9/2007
531,2/28/2007
532,6/18/2007
533,2/6/2008
534,2/15/2008
535,13/2/2017
536,13/2/2017
601,3/4/2010
602,4/8/2010
603,5/27/2010
604,9/14/2010
605,1/17/2011
606,2/22/2011
607,2/23/2011
608,11/18/2011
609,12/22/2011
611,1/31/2012
612,2/28/2012
613,3/6/2012
614,5/23/2012
615,6/11/2012
616,16/11/2012
617,12/5/2012
618,1/24/2013
619,3/21/2013
620,5/28/2013
621,7/11/2013
622,10/22/2013
623,11/25/2013
624,12/9/2013
625,1/29/2014
626,3/10/2014
627,5/5/2014
628,7/23/2014
629,10/16/2014
630,10/30/2014
631,11/4/2014
632,11/25/2014
633,11/18/2014
634,12/11/2014
635,12/19/2014
636,1/22/2015
637,1/28/2015
638,2/23/2015
639,3/5/2015
640,3/17/2015
641,4/30/2015
642,5/22/2015
643,6/8/2015
644,6/8/2016
645,3/15/2016
646,3/31/2016
647,4/6/2017
648,4/25/2017
649,5/17/2017
650,8/25/2017
651,12/14/2017
652,12/21/2017
653,1/31/2018
654,4/23/2018
655,8/27/2018
656,8/28/2018
690,10/2/2018
691,12/14/2018
692,12/7/2018
693,12/17/2018
694,12/17/2018
695,2/1/2019
696,5/14/2019
901,10/7/2016
902,10/13/2016
903,11/9/2016
904,12/7/2016
905,12/14/2016
906,5/4/2019
907,1/2/2019
908,12/17/2018
910,12/20/2018
912,6/12/2018
913,5/10/2018
915,11/13/2018
916,9/19/2019
917,10/1/2019
918,11/1/2019
919,12/1/2019
920,12/1/2019
921,1/1/2020
922,4/1/2020
923,4/1/2020
657,7/10/2015
658,8/11/2015
659,9/17/2015
660,10/22/2015
661,11/29/2015
662,12/18/2015
663,2/26/2016
664,4/12/2016
665,3/31/2016
667,4/28/2016
668,5/27/2016
669,9/7/2016
670,9/16/2016
671,11/17/2016
672,1/31/2017
673,2/21/2017
674,3/31/2017
675,5/9/2017
676,7/5/2017
677,7/28/2017
678,8/31/2017
679,10/25/2017
680,11/15/2017
681,11/30/2017
682,12/20/2017
683,2/14/2018
684,2/8/2018
685,3/12/2018
686,3/22/2018
687,3/30/2018
